name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
los angeles,2023-02-20,22.5,9.7,15.3,22.5,9.7,15.3,3.2,46.9,0,0,0,,0,0,18.4,10.9,254.8,1017.5,2.9,16,134.2,11.5,5,10,2023-02-20T06:32:26,2023-02-20T17:41:29,0.02,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,AT259,72295603167,72288023152,F1624,72287493134"
los angeles,2023-02-21,18.1,10.1,14,18.1,10.1,14,7.3,64.6,0,0,0,,0,0,72.5,14.8,218.5,1009.2,39.1,16,105.9,9,5,10,2023-02-21T06:31:19,2023-02-21T17:42:23,0.05,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KHHR,72295023174,KBUR,KCQT,AT259,SE428,72295603167,72288023152,72287493134"
los angeles,2023-02-22,13.3,7.9,10.4,13.3,6.5,9.5,-0.2,48.4,0.033,100,4.17,rain,0,0,66.9,40.4,272.1,1009.5,18.3,15.9,106.2,8.9,6,10,2023-02-22T06:30:10,2023-02-22T17:43:16,0.08,Rain,Clear conditions throughout the day with afternoon rain.,rain,"KHHR,72295023174,KBUR,AT259,72295603167,72288023152,72287493134"
los angeles,2023-02-23,11.6,7.7,9,11.6,5,8.3,3.7,69.6,3.494,100,41.67,rain,0,0,56.9,29.1,175.1,1015.8,77.9,15.5,116.5,10.1,7,10,2023-02-23T06:29:01,2023-02-23T17:44:10,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KHHR,72295023174,KBUR,KCQT,AT259,72295603167,KLAX,72288023152,F1624,72287493134,CQ070"
los angeles,2023-02-24,13,7.8,10.7,13,5.2,9.9,8.7,87.9,35.754,100,95.83,rain,0,0,68.6,23.5,121.4,1014.6,99.9,8,12.3,1.1,1,10,2023-02-24T06:27:50,2023-02-24T17:45:02,0.15,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KHHR,72295023174,KBUR,KCQT,SE428,KSMO,72295603167,72288023152,F1624,72287493134"
los angeles,2023-02-25,10.7,7,8.3,10.7,5.3,7.4,6.5,88.3,49.347,100,87.5,rain,0,0,58.8,16.6,96.3,1013,97.2,11.4,41.2,3.6,4,10,2023-02-25T06:26:39,2023-02-25T17:45:55,0.18,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KHHR,72295023174,KBUR,KCQT,SE428,KSMO,AT259,72295603167,72288023152,F1624,72287493134"
los angeles,2023-02-26,12.7,4.6,8.9,12.7,4.6,8.8,3.9,72.7,1.12,100,8.33,rain,0,0,31.7,11.1,212,1020,63.2,15.6,106.2,8.9,7,10,2023-02-26T06:25:27,2023-02-26T17:46:47,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KHHR,72295023174,KBUR,AT259,SE428,72295603167,72288023152,F1624,72287493134"
los angeles,2023-02-27,11.2,8.4,9.9,11.2,8,9.8,7.2,83.3,7.804,100,54.17,rain,0,0,40.7,14.6,105,1020.5,99.1,13.5,59.7,5.2,5,10,2023-02-27T06:24:15,2023-02-27T17:47:39,0.25,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KHHR,72295023174,KBUR,KCQT,AT259,KSMO,72295603167,72288023152,F1624,72287493134"
los angeles,2023-02-28,14.2,7.9,11.1,14.2,7.9,11.1,6.9,76.8,12.32,100,33.33,rain,0,0,40.7,23.1,224.2,1016.9,65.5,12.9,97.8,8.5,5,10,2023-02-28T06:23:01,2023-02-28T17:48:30,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KHHR,72295023174,KBUR,KCQT,KSMO,SE428,AT259,72295603167,72288023152,F1624,72287493134"
los angeles,2023-03-01,12.4,9.7,11,12.4,7,10.6,1.7,56.5,9.813,100,37.5,rain,0,0,57.6,37.8,299.7,1008.9,51.8,15.2,125.8,10.7,6,10,2023-03-01T06:21:47,2023-03-01T17:49:21,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KHHR,KSMO,72295603167,72288023152,72295023174,KBUR,KCQT,SE428,AT259,KLAX,F1624,72287493134,KLGB"
